Eastern Light Mace	khuzait_mace_1_t2
Knobbed Club	battania_mace_1_t2
Highland Spiked Club	battania_mace_2_t2
Southern Heavy Mace	aserai_mace_3_t3
Light Mace	light_mace_t3
Steel Shestopyor	steel_mace_t3
Morningstar	morningstar_mace_t3
Fullered Western Mace	vlandia_mace_2_t4
Imperial Light Mace	empire_mace_2_t4
Calradic Mace	empire_mace_3_t4
Spiralled Mace	aserai_mace_4_t4
Eastern Heavy Mace	khuzait_mace_2_t4
Eastern Fine Steel Mace	khuzait_mace_3_t4
Light Shishpar Mace	shishpar_mace_t4
Eastern Steel Mace	eastern_steel_mace_t4
Pernach	vlandia_mace_3_t5
Light Royal Mace	empire_mace_4_t5
Cataphracts Mace	empire_mace_5_t5
Eastern Flanged Mace	khuzait_mace_4_t5
Hunting Bow	hunting_bow
Mountain Hunting Bow	mountain_hunting_bow
Steppe Bow	steppe_bow
Longbow	glen_ranger_bow
Ranger Bow	highland_ranger_bow
Simple Short Bow	composite_bow
Steppe Recurve Bow	composite_steppe_bow
Heavy Recurve Bow	steppe_heavy_bow
Nordic Shortbow	nordic_shortbow
Western Longbow	lowland_longbow
Southern Tribesman's Bow	tribal_bow
Steppe War Bow	steppe_war_bow
Woodland Yew Bow	woodland_yew_bow
Woodland Longbow	woodland_longbow
Southern Strong Longbow	longbow_recurve_desert_bow
Nomad Bow	nomad_bow
Western Yew Bow	lowland_yew_bow
Noble Bow	noble_bow
Noble Long Bow	noble_long_bow
Light Crossbow	crossbow_a
Heavy Crossbow	crossbow_b
Arbalest	crossbow_c
Crossbow	crossbow_e
Hickory Crossbow	crossbow_d
Fine Crossbow	crossbow_g
Bound Crossbow	crossbow_f
Simple Javelin	western_javelin_1_t2
Fish Harpoon	northern_javelin_1_t2
Eastern Jagged Javelin	eastern_javelin_1_t2
Western Javelin	western_javelin_2_t3
Harpoon	generic_javelin_1_t3
Woodland Javelin	northern_javelin_2_t3
Eastern Javelin	eastern_javelin_2_t3
Hooked Javelin	western_javelin_3_t4
Broad Blade Javelin	northern_javelin_3_t4
Jereed	eastern_javelin_3_t4
Highland Throwing Axe	highland_throwing_axe_1_t2
Southern Throwing Axe	southern_throwing_axe_1_t4
Northern Throwing Axe	northern_throwing_axe_1_t1
Highland Throwing Axe	woodland_throwing_axe_1_t1
